super_MAPE,super_R2,namespace,query
12.573978607213185,0.7607776522636414,smartoss-application-dev,NAMESPACE_MEMORY_USAGE
34.98438458780072,-2.1549794673919678,panda-postgresql-dev,NAMESPACE_MEMORY_USAGE
18.963312878563325,-0.30293989181518555,smartvtc-application-prod,NAMESPACE_MEMORY_USAGE
20.294525738258248,-0.35927286744117737,telefonica-serapis-dev,NAMESPACE_MEMORY_USAGE
89.56509136378426,0.8647162914276123,telefonica-assets-fiber-prod,NAMESPACE_MEMORY_USAGE
2.5085151727834964,0.9249032139778137,smartoss-application-dev,NAMESPACE_DISK_PERCENT
24.829336628099544,0.9765319228172302,panda-postgresql-dev,NAMESPACE_DISK_PERCENT
75.8347523258561,0.9661009907722473,smartvtc-application-prod,NAMESPACE_DISK_PERCENT
20.72359275628202,0.9029858708381653,telefonica-serapis-dev,NAMESPACE_DISK_PERCENT
2.0851430274017253,0.9299065470695496,telefonica-assets-fiber-prod,NAMESPACE_DISK_PERCENT
56.24795027834146,0.7985491752624512,smartoss-application-dev,NAMESPACE_CPU_USAGE
45.372598918269674,0.7909486889839172,panda-postgresql-dev,NAMESPACE_CPU_USAGE
19.084451487225966,-0.48758959770202637,smartvtc-application-prod,NAMESPACE_CPU_USAGE
45.97281521218075,0.8125324249267578,telefonica-serapis-dev,NAMESPACE_CPU_USAGE
46.56544460990086,0.13595561683177948,telefonica-assets-fiber-prod,NAMESPACE_CPU_USAGE
42.64865210118374,0.4100792407989502,ALL,NAMESPACE_CPU_USAGE
25.196267982084578,0.9400857090950012,ALL,NAMESPACE_DISK_PERCENT
35.276258635123945,-0.23833966255187988,ALL,NAMESPACE_MEMORY_USAGE
34.37372623946409,0.37060844898223877,ALL,ALL
35.06210671138998,-0.12916626036167145,panda-postgresql-dev,ALL
23.776814686112715,0.8280766606330872,smartoss-application-dev,ALL
37.96083889721513,0.05852383375167847,smartvtc-application-prod,ALL
46.07189300036228,0.6435261368751526,telefonica-assets-fiber-prod,ALL
28.996977902240342,0.4520817995071411,telefonica-serapis-dev,ALL
