namespace,query,MAPE,R2,MAE
telco-datastorage-prod,ALL,11.44914622,0.6702518,0.1037968656
telefonica-arise-dev,ALL,4.510399246666667,0.6801890366666666,0.0218523429999999
telefonica-baroneza,ALL,11.842433766666666,0.3166605366666666,0.1880833951666666
telefonica-baroneza-dev,ALL,22.601186466666665,-233.54321806000004,0.0411098226666666
telefonica-cem-mbb-prod,ALL,12.286777566666666,0.7691103133333334,0.2274432909999999
telefonica-netcompass,ALL,119.10438166666664,0.0766821566666666,0.96842231
telefonica-netcompass-dev,ALL,161.02428,0.4341023433333333,1.4207900333333334
telefonica-netcompass-icaro-dev,ALL,1.9585549266666664,0.529375111,0.0443535280666666
telefonica-twamp-accedian,ALL,11.240448333333331,0.8306148133333333,0.2104484843333333
panda-amq-streams,ALL,11.774366100000002,0.6789120166666667,0.12866464
panda-amq-streams-dev,ALL,9.373457013333336,0.3854841499999999,0.3699504456666666
panda-druid,ALL,9.712762433333332,0.3649062833333333,0.2524509733333333
panda-druid-dev,ALL,41.690373433333335,0.7477280566666668,0.1351143946666666
panda-monitoring-tools,ALL,33.581994599999994,0.8344555533333332,0.281531178
panda-nifi,ALL,4.52452681,0.6662304,0.1053729848333333
panda-nifi-dev,ALL,9.91271365,0.32598008,0.1960954402333333
smartvtc-application-dev,ALL,14.998384288333334,0.75348018,0.3436118792333333
telco-dataprocessing-prod,ALL,11.988136766666663,0.4655917733333334,0.2570608963333333
telco-datastorage-prod,ALL,11.44914622,0.6702518,0.1037968656
telefonica-arise-dev,ALL,4.510399246666667,0.6801890366666666,0.0218523429999999
telefonica-baroneza,ALL,11.842433766666666,0.3166605366666666,0.1880833951666666
telefonica-baroneza-dev,ALL,22.601186466666665,-233.54321806000004,0.0411098226666666
telefonica-cem-mbb-prod,ALL,12.286777566666666,0.7691103133333334,0.2274432909999999
telefonica-netcompass,ALL,119.10438166666664,0.0766821566666666,0.96842231
telefonica-netcompass-dev,ALL,161.02428,0.4341023433333333,1.4207900333333334
telefonica-netcompass-icaro-dev,ALL,1.9585549266666664,0.529375111,0.0443535280666666
telefonica-twamp-accedian,ALL,11.240448333333331,0.8306148133333333,0.2104484843333333
ALL,ALL,119.24435397954956,-12.10041457093694,0.2945861046198198
ALL,NAMESPACE_CPU_USAGE,67.45942336842104,0.2819773512105263,0.42060957589473685
ALL,NAMESPACE_DISK_PERCENT,540.2991971707894,-35.11301277526316,0.2721463493473685
ALL,NAMESPACE_MEMORY_USAGE,9.367712190526316,-0.49031336578947365,0.1920124377263158
ALL,ALL,171.67490871391846,-11.902350703528368,0.2947902634822695
openshift-storage,ALL,3404.8924506666667,0.3115877866666667,0.30738006
panda-amq-streams,ALL,11.774366100000002,0.6789120166666667,0.12866464
panda-amq-streams-dev,ALL,9.373457013333335,0.38548414999999997,0.3699504456666666
panda-druid,ALL,9.712762433333333,0.3649062833333333,0.25245097333333333
panda-druid-dev,ALL,41.690373433333335,0.7477280566666668,0.13511439466666667
panda-monitoring-tools,ALL,33.581994599999994,0.8344555533333333,0.281531178
panda-nifi,ALL,4.52452681,0.6662304,0.10537298483333331
panda-nifi-dev,ALL,9.91271365,0.32598008,0.1960954402333333
smartvtc-application-dev,ALL,14.998384288333336,0.75348018,0.34361187923333336
telco-dataprocessing-prod,ALL,11.988136766666665,0.4655917733333334,0.2570608963333333
telco-datastorage-prod,ALL,11.44914622,0.6702518,0.10379686559999998
telefonica-arise-dev,ALL,4.510399246666667,0.6801890366666666,0.021852342999999958
telefonica-baroneza,ALL,11.842433766666666,0.31666053666666666,0.18808339516666664
telefonica-baroneza-dev,ALL,22.601186466666665,-233.54321806000002,0.04110982266666664
telefonica-cem-mbb-prod,ALL,12.286777566666666,0.7691103133333334,0.22744329099999994
telefonica-netcompass,ALL,119.10438166666665,0.07668215666666664,0.96842231
telefonica-netcompass-dev,ALL,161.02428,0.43410234333333336,1.4207900333333334
telefonica-netcompass-icaro-dev,ALL,1.9585549266666669,0.529375111,0.044353528066666634
telefonica-twamp-accedian,ALL,11.240448333333333,0.8306148133333334,0.21044848433333332
